,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
207,676,0,1,34,1,63095.01,1,1,1,40645.81
208,572,1,0,26,4,118287.01,2,0,0,60427.3
209,668,1,0,47,7,106854.21,1,0,1,157959.02
210,695,0,0,46,7,49512.55,1,1,0,133007.34
211,730,2,1,33,9,0.0,2,0,0,176576.62
212,807,0,0,43,1,105799.32,2,1,0,34888.04
213,592,0,0,54,8,0.0,1,1,1,28737.71
214,726,0,1,31,9,114722.05,2,1,1,98178.57
215,514,2,0,30,7,0.0,1,0,1,125010.24
216,567,0,0,42,2,0.0,2,1,1,167984.61
217,850,0,0,33,10,0.0,1,1,0,4861.72
218,671,1,0,45,6,99564.22,1,1,1,108872.45
219,670,0,0,37,4,170557.91,2,1,0,198252.88
220,694,0,1,30,9,0.0,2,1,1,26960.31
221,547,1,1,39,6,74596.15,3,1,1,85746.52
222,751,1,0,50,2,96888.39,1,1,0,77206.25
223,594,1,1,29,3,130830.22,1,1,0,61048.53
224,610,0,0,40,0,0.0,2,1,0,62232.6
225,512,0,1,37,1,0.0,2,0,1,156105.03
226,767,1,0,20,3,119714.25,2,0,1,150135.38
227,763,1,0,42,6,100160.75,1,1,0,33462.94
228,712,0,1,29,2,0.0,1,1,1,144375.0
229,539,1,1,43,3,116220.5,3,1,0,55803.96
230,668,0,1,46,2,0.0,3,1,0,89048.46
231,703,0,0,28,2,81173.83,2,0,1,162812.16
232,662,2,0,38,4,0.0,2,1,0,136259.65
233,725,1,1,39,5,116803.8,1,1,0,124052.97
234,703,0,0,37,8,105961.68,2,0,1,74158.8
235,523,2,0,34,7,0.0,2,1,0,62030.06
236,635,0,1,40,10,123497.58,1,1,0,131953.23
237,772,1,0,26,7,152400.51,2,1,0,79414.0
238,545,0,1,26,1,0.0,2,1,1,199638.56
239,634,1,0,24,8,103097.85,1,1,1,157577.29
240,739,1,0,54,8,126418.14,1,1,0,134420.75
241,771,1,1,36,5,77846.9,1,0,0,99805.99
242,587,2,1,34,1,0.0,2,1,1,97932.68
243,544,1,0,37,2,79731.91,1,1,1,57558.95
244,696,2,0,28,8,0.0,1,0,0,176713.47
245,766,2,0,41,0,0.0,2,0,1,34283.23
246,727,0,0,34,10,0.0,2,1,1,198637.34
247,671,1,1,34,6,37266.67,2,0,0,156917.12
248,693,0,1,30,6,127992.25,1,1,1,50457.2
249,850,1,0,38,3,54901.01,1,1,1,140075.55
250,732,1,0,42,9,108748.08,2,1,1,65323.11
251,726,2,1,48,6,99906.19,1,1,0,64323.24
252,557,0,1,32,6,184686.41,2,1,0,14956.44
253,682,0,1,26,0,110654.02,1,0,1,111879.21
254,738,2,0,31,9,79019.8,1,1,1,18606.23
255,531,2,1,36,9,99240.51,1,1,0,123137.01
256,498,0,0,34,2,0.0,2,1,1,148528.24
257,651,0,0,36,7,0.0,2,1,0,13898.31
258,549,2,1,39,7,0.0,1,0,0,81259.25
259,791,1,1,35,7,52436.2,1,1,0,161051.75
260,650,2,0,41,9,0.0,2,0,1,191599.67
261,733,1,0,34,3,100337.96,3,1,0,48559.19
262,811,1,1,34,1,149297.19,2,1,1,186339.74
263,707,0,0,30,8,0.0,2,1,0,33159.37
264,712,1,0,28,4,145605.44,1,0,1,93883.53
265,706,2,1,37,7,0.0,2,1,1,110899.3
266,756,0,0,62,3,0.0,1,1,1,11199.04
267,777,0,1,53,10,0.0,2,1,0,189992.97
268,646,0,0,35,6,84026.86,1,0,1,164255.69
269,714,0,0,46,1,0.0,1,1,0,152167.79
270,782,0,0,39,8,0.0,2,1,1,33949.67
271,775,2,0,29,10,0.0,2,1,1,68143.93
272,479,1,0,35,4,138718.92,1,1,1,47251.79
273,807,0,0,42,7,118274.71,1,1,1,25885.72
274,799,0,1,22,8,174185.98,2,0,1,192633.85
275,675,0,0,40,7,113208.86,2,1,0,34577.36
276,602,2,0,29,5,103907.28,1,1,0,161229.84
277,475,0,1,32,8,119023.28,1,1,0,100816.29
278,744,2,1,26,5,166297.89,1,1,1,181694.44
279,588,2,0,34,10,0.0,2,1,0,79078.91
280,703,1,0,42,9,63227.0,1,0,1,137316.32
281,747,2,1,41,5,94521.17,2,1,0,194926.86
282,583,0,0,27,7,0.0,2,1,0,51285.49
283,750,2,1,34,9,112822.26,1,0,0,150401.53
284,681,0,0,38,3,0.0,2,1,1,112491.96
285,773,0,0,25,2,135903.33,1,1,0,73656.38
286,714,0,1,31,4,125169.26,1,1,1,106636.89
287,687,2,1,44,7,0.0,3,1,0,155853.52
288,511,0,0,58,0,149117.31,1,1,1,162599.51
289,627,0,0,33,5,0.0,2,1,1,103737.82
290,694,0,1,31,10,0.0,2,1,0,160990.27
291,616,2,1,36,6,132311.71,1,0,0,15462.84
292,687,0,0,35,8,0.0,2,1,0,10334.05
293,712,0,1,33,6,0.0,2,1,1,190686.16
294,553,0,0,33,4,118082.89,1,0,0,94440.45
295,667,0,0,31,1,119266.69,1,1,1,28257.63
296,731,0,0,43,2,0.0,1,1,1,170034.95
297,629,1,0,35,7,156847.29,2,1,0,31824.29
298,614,0,0,50,4,137104.47,1,1,0,127166.49
299,438,1,0,31,8,78398.69,1,1,0,44937.01
300,729,1,0,30,6,63669.42,1,1,0,145111.37
301,642,0,0,38,3,0.0,2,0,0,171463.83
302,806,1,1,59,0,135296.33,1,1,0,182822.5
303,744,2,0,36,2,153804.44,1,1,1,87213.33
304,474,2,0,37,3,0.0,2,0,0,57175.32
305,559,0,0,49,2,147069.78,1,1,0,120540.83
306,706,2,0,42,9,0.0,2,1,1,28714.34
307,628,2,1,22,3,0.0,1,1,0,85426.28
308,429,0,0,24,4,95741.75,1,1,0,46170.75
309,525,2,1,57,2,145965.33,1,1,1,64448.36
310,680,0,1,30,8,141441.75,1,1,1,16278.97
311,749,0,0,40,1,139290.41,1,1,0,182855.42
312,763,0,1,31,4,0.0,2,0,0,50404.72
313,734,0,0,30,3,0.0,2,1,0,107640.25
314,716,0,0,35,4,144428.87,1,1,0,134132.65
315,594,0,0,35,2,0.0,2,1,0,103480.69
316,644,0,1,46,9,95441.27,1,1,0,108761.05
317,671,1,0,35,1,144848.74,1,1,1,179012.3
318,664,1,0,26,7,116244.14,2,1,1,95145.14
319,656,0,0,50,7,0.0,2,0,1,72143.44
320,667,2,1,40,1,146502.07,1,1,0,19162.89
321,663,1,0,44,2,117028.6,2,0,1,144680.18
322,584,1,1,30,8,112013.81,1,1,0,177772.03
323,626,2,1,37,6,108269.37,1,1,0,5597.94
324,485,0,0,29,7,182123.79,1,1,0,116828.51
325,659,1,1,32,3,150923.74,2,0,1,174652.51
326,649,0,0,33,2,0.0,2,1,0,2010.98
327,805,2,1,39,5,165272.13,1,1,0,14109.85
328,716,1,1,39,10,115301.31,1,1,0,43527.4
329,642,1,1,40,6,129502.49,2,0,1,86099.23
330,659,0,0,31,4,118342.26,1,0,0,161574.19
331,545,2,1,47,5,0.0,2,1,1,38970.14
332,543,0,0,22,8,0.0,2,0,0,127587.22
333,718,0,1,25,7,0.0,2,1,0,30380.12
334,840,0,1,43,7,0.0,2,1,0,90908.95
335,630,1,1,34,9,106937.05,2,1,0,138275.01
336,643,1,0,59,3,170331.37,1,1,1,32171.79
337,654,1,1,32,1,114510.85,1,1,1,126143.23
338,582,0,0,39,5,0.0,2,1,1,129892.93
339,659,2,0,32,3,107594.11,2,1,1,102416.84
340,762,2,0,39,2,81273.13,1,1,1,18719.67
341,568,2,1,32,7,169399.6,1,1,0,61936.22
342,670,2,0,25,6,0.0,2,1,1,78358.94
343,613,0,1,45,1,187841.99,2,1,1,147224.27
344,539,0,0,30,0,0.0,2,1,0,160979.66
345,850,2,1,57,8,126776.3,2,1,1,132298.49
346,522,2,0,34,9,126436.29,1,1,0,174248.52
347,737,0,0,41,1,101960.74,1,1,1,123547.28
348,520,0,0,58,3,0.0,2,0,1,32790.02
349,706,2,0,28,3,0.0,2,0,1,181543.67
350,643,1,1,45,2,150842.93,1,0,1,2319.96
351,648,0,1,50,9,102535.57,1,1,1,189543.19
352,443,1,1,29,9,99027.61,2,1,0,10940.4
353,628,2,1,33,3,0.0,1,1,1,188193.25
354,540,1,1,42,9,87271.41,2,1,0,172572.64
355,460,1,1,35,8,102742.91,2,1,1,189339.6
356,636,1,0,34,2,40105.51,2,0,1,53512.16
357,593,0,1,29,2,152265.43,1,1,0,34004.44
358,801,2,0,42,4,141947.67,1,1,1,10598.29
359,611,1,0,31,0,107884.81,2,1,1,183487.98
360,802,1,0,31,1,125013.72,1,1,1,187658.09
361,717,1,0,35,7,58469.37,2,1,1,172459.39
362,769,0,1,39,8,0.0,1,0,1,21016.0
363,745,1,0,45,10,117231.63,3,1,1,122381.02
364,572,2,0,35,4,152390.26,1,1,0,128123.66
365,629,2,1,30,2,34013.63,1,1,0,19570.63
366,687,2,1,39,2,0.0,3,0,0,188150.6
367,483,0,1,50,9,0.0,2,1,1,111020.24
368,690,0,0,36,7,101583.11,2,1,0,123775.15
369,492,1,1,30,10,77168.87,2,0,1,146700.22
370,709,1,0,28,8,124695.72,2,1,0,145251.35
371,705,1,0,44,3,105934.96,1,1,0,82463.69
372,611,2,0,46,6,0.0,2,1,0,45886.33
373,730,2,0,62,2,0.0,2,1,1,186489.95
374,709,2,1,45,2,0.0,2,0,1,162922.65
375,544,0,1,21,10,161525.96,2,1,0,9262.77
376,712,1,1,29,7,147199.07,1,1,1,84932.4
377,752,1,0,38,3,183102.29,1,1,1,71557.12
378,648,2,0,46,9,127209.0,2,1,0,77405.95
379,556,2,0,38,8,0.0,2,0,0,417.41
380,594,2,1,24,0,97378.54,1,1,1,71405.17
381,645,1,1,37,2,136925.09,2,0,1,153400.24
382,557,0,0,33,3,54503.55,1,1,1,371.05
383,547,1,0,32,8,155726.85,1,1,0,67789.99
384,701,0,1,39,9,0.0,2,0,1,145894.9
385,605,0,0,52,1,63349.75,1,1,0,108887.44
386,593,1,1,38,4,129499.42,1,1,1,154071.27
387,751,2,0,52,8,0.0,2,0,1,179291.85
388,443,2,0,36,6,70438.01,2,0,1,56937.43
389,685,0,0,23,8,0.0,2,1,1,112239.03
390,718,0,0,36,9,0.0,1,1,0,45909.87
391,538,2,1,49,9,141434.04,1,0,0,173779.25
392,611,2,1,37,4,0.0,2,1,0,125696.26
393,668,1,0,37,10,152958.29,2,1,1,159585.61
394,537,1,1,41,3,138306.34,1,1,0,106761.47
395,709,2,0,23,10,0.0,2,0,0,129590.18
396,850,0,0,38,1,0.0,2,1,1,80006.65
397,745,2,1,31,3,124328.84,1,1,1,140451.52
398,693,1,1,41,9,181461.48,3,1,1,187929.43
399,795,2,0,35,8,0.0,2,1,0,167155.36
400,626,2,0,26,8,0.0,2,0,0,191420.71
401,487,1,1,61,5,110368.03,1,0,0,11384.45
402,556,0,1,39,9,89588.35,1,1,1,94898.1
403,643,0,1,46,6,0.0,2,0,0,106781.59
404,605,0,1,28,6,0.0,2,0,0,159508.52
405,756,1,1,60,3,115924.89,1,1,0,93524.19
406,586,0,1,38,2,0.0,2,1,0,87168.46
407,535,1,0,40,7,111756.5,1,1,0,8128.32
408,678,0,1,35,4,0.0,1,1,0,125518.32
409,596,0,0,39,9,0.0,1,1,0,48963.59
410,648,0,0,26,9,162923.85,1,1,0,98368.24
411,492,1,0,39,10,124576.65,2,1,0,148584.61
412,702,0,0,45,0,80793.58,1,1,1,27474.81
413,486,1,1,40,9,71340.09,1,1,0,76192.21
414,568,1,0,40,1,99282.63,1,0,0,134600.94
415,619,1,0,57,3,137946.39,1,1,1,72467.99
416,724,1,0,41,2,127892.57,2,0,1,199645.45
417,548,1,1,33,0,101084.36,1,1,0,42749.85
418,545,1,1,37,8,114754.08,1,1,0,136050.44
419,683,0,0,33,8,0.0,1,0,0,73564.44
420,762,0,1,51,3,99286.98,1,0,1,85578.63
421,627,1,1,30,4,79871.02,2,1,0,129826.89
422,516,0,0,35,10,104088.59,2,0,0,119666.0
423,800,0,1,38,2,168190.33,2,1,0,68052.08
424,464,1,1,42,3,85679.25,1,1,1,164104.74
425,626,0,1,35,3,0.0,1,0,0,80190.36
426,790,0,1,31,9,0.0,2,1,0,84126.75
427,534,0,1,34,7,121551.58,2,1,1,70179.0
428,745,0,0,46,2,122220.19,1,1,1,118024.1
429,553,2,0,47,3,116528.15,1,0,0,145704.19
430,748,0,1,26,1,77780.29,1,0,1,183049.41
431,722,0,0,37,2,0.0,1,0,0,120906.83
432,501,0,0,40,4,125832.2,1,1,1,100433.83
433,675,0,1,38,6,68065.8,1,0,0,138777.0
434,778,2,1,47,6,127299.34,2,1,0,124694.99
435,494,1,1,38,7,174937.64,1,1,0,40084.32
436,850,0,0,40,9,0.0,2,0,1,119232.33
437,592,2,0,31,7,110071.1,1,0,0,43921.36
438,590,2,1,44,3,139432.37,1,1,0,62222.81
439,758,0,1,39,6,127357.76,1,0,1,56577.0
440,506,0,0,36,5,0.0,2,1,0,164253.35
441,733,0,0,33,3,0.0,1,1,1,7666.73
442,711,0,0,38,3,0.0,2,1,0,68487.51
443,514,1,0,43,1,95556.31,1,0,1,199273.98
444,637,2,0,37,8,0.0,1,1,1,186062.36
445,468,1,0,29,1,111681.98,2,1,1,195711.16
446,539,0,0,39,3,0.0,2,1,0,36692.17
447,509,2,1,25,3,108738.71,2,1,0,106920.57
448,662,0,1,32,4,133950.37,1,1,1,48725.68
449,818,2,0,26,4,0.0,2,1,1,167036.94
450,608,0,0,33,9,89968.69,1,1,0,68777.26
451,850,2,1,32,9,0.0,2,1,1,18924.92
452,816,1,1,38,5,130878.75,3,1,0,71905.77
453,536,0,0,35,8,0.0,2,1,0,64833.28
454,753,0,0,35,3,0.0,2,1,1,184843.77
455,631,2,0,27,10,134169.62,1,1,1,176730.02
456,703,0,0,37,1,149762.08,1,1,0,20629.4
457,774,0,0,26,2,93844.69,1,1,0,28415.36
458,785,0,0,28,8,0.0,2,1,0,77231.27
459,571,0,1,33,1,0.0,2,1,0,102750.7
460,621,1,0,46,6,141078.37,1,0,0,34580.8
461,605,1,1,31,1,117992.59,1,1,1,183598.77
462,611,0,1,40,8,100812.33,2,1,0,147358.27
463,569,0,0,38,7,0.0,1,1,1,108469.2
464,658,0,0,29,4,80262.6,1,1,1,20612.82
465,788,2,0,34,6,156478.62,1,0,1,181196.76
466,525,0,1,23,5,0.0,2,1,0,160249.1
467,798,0,0,37,8,0.0,3,0,0,110783.28
468,486,1,0,37,9,115217.99,2,1,0,144995.33
469,615,2,0,61,9,0.0,2,1,0,150227.85
470,730,0,1,35,0,155470.55,1,1,1,53718.28
471,641,0,0,37,7,0.0,2,1,0,75248.3
472,542,0,0,39,3,135096.77,1,1,1,14353.43
473,692,0,0,30,2,0.0,2,0,1,130486.57
474,714,1,1,55,9,180075.22,1,1,1,100127.71
475,591,2,0,29,1,97541.24,1,1,1,196356.17
476,710,0,1,41,2,156067.05,1,1,1,9983.88
477,639,0,1,38,4,81550.94,2,0,1,118974.77
478,531,0,1,47,6,0.0,1,0,0,194998.34
479,673,0,1,38,2,170061.92,2,0,0,134901.34
480,765,1,0,36,8,92310.54,2,1,1,72924.56
481,622,0,1,32,6,169089.38,2,1,0,101057.95
482,806,0,0,40,5,80613.93,1,1,1,142838.64
483,757,1,0,26,8,121581.56,2,1,1,127059.04
484,570,0,1,58,8,0.0,1,0,1,116503.92
485,555,2,0,32,4,0.0,2,1,1,54405.79
486,692,0,0,54,5,0.0,2,1,1,88721.84
487,774,0,0,60,5,85891.55,1,1,0,74135.48
488,638,2,0,44,9,77637.35,2,1,1,111346.22
489,543,2,1,41,4,0.0,1,0,0,194902.16
490,584,0,0,31,5,0.0,2,1,0,31474.27
491,691,1,0,30,7,116927.89,1,1,0,21198.39
492,684,1,1,40,6,137326.65,1,1,0,186976.6
493,733,0,0,22,5,0.0,2,1,1,117202.19
494,599,2,1,37,2,0.0,2,1,1,143739.29
495,524,1,1,31,10,67238.98,2,1,1,161811.23
496,632,1,1,38,6,86569.76,2,1,0,98090.91
497,735,2,0,34,5,0.0,2,0,0,71095.41
498,734,0,0,34,6,133598.4,1,1,1,13107.24
499,605,0,1,51,3,136188.78,1,1,1,67110.59
500,793,2,0,38,9,0.0,2,1,0,88225.02
501,468,0,1,56,10,0.0,3,0,1,62256.87
